Name,Rarity,Slot,Outfit,Labels,Source,Style,Banner
Guiding Star,4,Hair Accessory,Tidal Shark Mirage,Playful,Resonance from the Distant Sea,Cool,Distant Sea
Blossom Verses,4,Hair Accessory,Wind of Purity,Romance,Insights of the Heart of Infinity.,Elegant,
Gala Crystal,4,Hair Accessory,,Royal,Rare treasures scattered in chests found all around the world.,Elegant,
Sparkling Reverie,4,Headwear,Bubbly Voyage,Summer,Insights of the Heart of Infinity.,Sweet,
Rhymes Echo,4,Headwear,Bubbly Voyage: Spring,Summer,Insights of the Heart of Infinity.,Sweet,
Azure Ripples,4,Headwear,Bye-Bye Dust,Playful,Insights of the Heart of Infinity.,Sweet,
Leisurely Moments,4,Headwear,Bye-Bye Dust: Kitty,Playful,Insights of the Heart of Infinity.,Sweet,
Blank Beginnings,4,Headwear,Flowing Colors,Playful,Resonance from the Distant Sea,Fresh,Butterfly Dream
Starry Dream,4,Headwear,Flowing Colors: Dreamy,Playful,Resonance from the Distant Sea,Fresh,Butterfly Dream
Harvest's Blessing,4,Headwear,Hometown Breeze,Pastoral,A gift from the Cadenceborn to those who offer the Dew of Inspiration.,Fresh,
Floral Tribute,4,Headwear,Hometown Breeze: Hopeful,Pastoral,A gift from the Cadenceborn to those who offer the Dew of Inspiration.,Fresh,
Cradle of Wish,4,Headwear,Rebirth Wish,Retro,A gift from the Cadenceborn to those who offer the Dew of Inspiration.,Sweet,
Subtle Fragrance,4,Headwear,Rebirth Wish: Blooming,Retro,A gift from the Cadenceborn to those who offer the Dew of Inspiration.,Sweet,
Cheerful Fisher,4,Headwear,Rippling Serenity,Simple,Insights of the Heart of Infinity.,Cool,
Immersed in Fantasy,4,Headwear,Rippling Serenity: Dream,Simple,Insights of the Heart of Infinity.,Cool,
Cooling Breeze,4,Headwear,Shark Mirage: Summer,Playful,Resonance from the Distant Sea,Cool,Distant Sea
Sleepless Night,4,Headwear,Sweet Jazz Nights,Cute,Resonance from the Distant Sea,Sweet,Distant Sea
Vibrant Note,4,Headwear,Sweet Jazz Nights: Waltz,Cute,Resonance from the Distant Sea,Sweet,Distant Sea
Night's Conductor,4,Headwear,Symphony of Strings,Romance,Insights of the Heart of Infinity.,Sweet,
Drifting Sharkfin,4,Headwear,Tidal Shark Mirage,Playful,Resonance from the Distant Sea,Cool,Distant Sea
Crowning Spring,4,Headwear,Wind of Purity,Romance,Insights of the Heart of Infinity.,Elegant,
Twilight's Veil,4,Earrings,Floral Memory,Retro,Insights of the Heart of Infinity.,Fresh,
Flower Memory,4,Earrings,Floral Memory: Gleam,Retro,Insights of the Heart of Infinity.,Fresh,
Painted Scenery,4,Earrings,Flowing Colors,Playful,Resonance from the Distant Sea,Fresh,Butterfly Dream
Painting the Past,4,Earrings,Flowing Colors: Dreamy,Playful,Resonance from the Distant Sea,Fresh,Butterfly Dream
Emergency Response,4,Earrings,Fully Charged,Uniform,Insights of the Heart of Infinity.,Cool,
Maximum Power,4,Earrings,Fully Charged: Refreshing,Uniform,Insights of the Heart of Infinity.,Cool,
Wishbird Return,4,Earrings,Hometown Breeze,Pastoral,A gift from the Cadenceborn to those who offer the Dew of Inspiration.,Fresh,
Moonlit Branch,4,Earrings,Hometown Breeze: Hopeful,Pastoral,A gift from the Cadenceborn to those who offer the Dew of Inspiration.,Fresh,
Weaving Spring,4,Earrings,Rebirth Wish,Retro,A gift from the Cadenceborn to those who offer the Dew of Inspiration.,Sweet,
First Light of Dawn,4,Earrings,Rebirth Wish: Blooming,Retro,A gift from the Cadenceborn to those who offer the Dew of Inspiration.,Sweet,
Tiny Bites,4,Earrings,Rippling Serenity,Simple,Insights of the Heart of Infinity.,Cool,
Scaled Password,4,Earrings,Rippling Serenity: Dream,Simple,Insights of the Heart of Infinity.,Cool,
Bibcoon Pompoms,4,Earrings,Sweet Jazz Nights,Cute,Resonance from the Distant Sea,Sweet,Distant Sea
Fluffy Puff,4,Earrings,Sweet Jazz Nights: Waltz,Cute,Resonance from the Distant Sea,Sweet,Distant Sea
Trailing Melody,4,Earrings,Symphony of Strings,Romance,Insights of the Heart of Infinity.,Sweet,
Resurrected Shine,4,Earrings,Wind of Purity,Romance,Insights of the Heart of Infinity.,Elegant,
Gleaming Wilderness,4,Earrings,,Romance,World travel mementos.,Fresh,
Wish Bottle Earrings,4,Earrings,,Fantasy,A unique creation made by an independent designer.,Elegant,
Gentle Touch,4,Bracelet,Bubbly Voyage,Summer,Insights of the Heart of Infinity.,Sweet,
Dewy Bubbles,4,Bracelet,Bubbly Voyage: Spring,Summer,Insights of the Heart of Infinity.,Sweet,
Languid Windmill,4,Bracelet,Hometown Breeze,Pastoral,A gift from the Cadenceborn to those who offer the Dew of Inspiration.,Fresh,
Breeze Melody,4,Bracelet,Hometown Breeze: Hopeful,Pastoral,A gift from the Cadenceborn to those who offer the Dew of Inspiration.,Fresh,
Unfulfilled Wish,4,Bracelet,Sweet Jazz Nights,Cute,Resonance from the Distant Sea,Sweet,Distant Sea
Bibcoon's Masterpiece,4,Bracelet,Sweet Jazz Nights: Waltz,Cute,Resonance from the Distant Sea,Sweet,Distant Sea
Flowing Ripple,4,Choker,Bubbly Voyage,Summer,Insights of the Heart of Infinity.,Sweet,
Emerald Flow,4,Choker,Bubbly Voyage: Spring,Summer,Insights of the Heart of Infinity.,Sweet,
Past Fragrance,4,Choker,Floral Memory,Retro,Insights of the Heart of Infinity.,Fresh,
Hidden in Flowers,4,Choker,Floral Memory: Gleam,Retro,Insights of the Heart of Infinity.,Fresh,
Cool Touch,4,Gloves,Bye-Bye Dust,Playful,Insights of the Heart of Infinity.,Sweet,
Purring Messenger,4,Gloves,Bye-Bye Dust: Kitty,Playful,Insights of the Heart of Infinity.,Sweet,
Lingering Memory,4,Gloves,Floral Memory,Retro,Insights of the Heart of Infinity.,Fresh,
Remembrance of Flowers,4,Gloves,Floral Memory: Gleam,Retro,Insights of the Heart of Infinity.,Fresh,
Precise Maneuver,4,Gloves,Fully Charged,Uniform,Insights of the Heart of Infinity.,Cool,
Smooth Current,4,Gloves,Fully Charged: Refreshing,Uniform,Insights of the Heart of Infinity.,Cool,
Splashy Gloves,4,Gloves,Rippling Serenity,Simple,Insights of the Heart of Infinity.,Cool,
Shadow of the Stars,4,Gloves,Rippling Serenity: Dream,Simple,Insights of the Heart of Infinity.,Cool,
Shallow Sea Swim,4,Gloves,Shark Mirage: Summer,Playful,Resonance from the Distant Sea,Cool,Distant Sea
Midnight Nocturne,4,Gloves,Symphony of Strings,Romance,Insights of the Heart of Infinity.,Sweet,
Deep Sea Adventure,4,Gloves,Tidal Shark Mirage,Playful,Resonance from the Distant Sea,Cool,Distant Sea
Monsoon Messenger,4,Gloves,Wind of Purity,Romance,Insights of the Heart of Infinity.,Elegant,
Fingerless Gloves,4,Gloves,,Adventure,Rare treasures scattered in chests found all around the world.,Cool,
Twin Moons,4,Gloves,,Uniform,A classic clothing piece from Marques Boutique.,Cool,
Risk Prevention,4,Face Decoration,Fully Charged,Uniform,Insights of the Heart of Infinity.,Cool,
Sweet Guardian,4,Face Decoration,Fully Charged: Refreshing,Uniform,Insights of the Heart of Infinity.,Cool,
Glimpse of Sunset,4,Face Decoration,,Trendy,A classic clothing piece from Marques Boutique.,Cool,
Field Posy,4,Chest Accessory,Afternoon Shine,Adventure,Insights of the Heart of Infinity.,Sweet,
Power Supply,4,Chest Accessory,Fully Charged,Uniform,Insights of the Heart of Infinity.,Cool,
Best Partner,4,Chest Accessory,Fully Charged: Refreshing,Uniform,Insights of the Heart of Infinity.,Cool,
Summer Voyage,4,Pendant,Shark Mirage: Summer,Playful,Resonance from the Distant Sea,Cool,Distant Sea
Whispering Breeze,4,Pendant,Tidal Shark Mirage,Playful,Resonance from the Distant Sea,Cool,Distant Sea
Windswept Plume,4,Pendant,Wind of Purity,Romance,Insights of the Heart of Infinity.,Elegant,
Golden Daylight,4,Backpiece,Afternoon Shine,Adventure,Insights of the Heart of Infinity.,Sweet,
Floral Dreamscape,4,Backpiece,Flowing Colors,Playful,Resonance from the Distant Sea,Fresh,Butterfly Dream
Starry Poetry,4,Backpiece,Flowing Colors: Dreamy,Playful,Resonance from the Distant Sea,Fresh,Butterfly Dream
Fishing Bliss,4,Backpiece,Rippling Serenity,Simple,Insights of the Heart of Infinity.,Cool,
Bountiful Harvest,4,Backpiece,Rippling Serenity: Dream,Simple,Insights of the Heart of Infinity.,Cool,
Corridor of Time,3,Hair,A Beautiful Day,Retro,Proof of styling prowess.,Elegant,
Clear Vision,3,Hair,Afternoon Shine,Adventure,Insights of the Heart of Infinity.,Sweet,
Dawn's Radiance,3,Hair,Carnival Ode,Fashion,Rare treasures scattered in chests found all around the world.,Cool,
Relaxed Workflow,3,Hair,Refined Grace,Intellectual,Proof of styling prowess.,Cool,
Pink Star Wish,3,Hair,Searching for Dreams,Cute,Proof of styling prowess.,Sexy,
Thousand Symphonies,3,Hair,Symphony of Strings,Romance,Insights of the Heart of Infinity.,Sweet,
An Easy Start,3,Hair,,Simple,A classic clothing piece from Marques Boutique.,Cool,
Autumn's Melody,3,Hair,,Pastoral,A classic clothing piece from Marques Boutique.,Sweet,
Azure Sand,3,Hair,,Adventure,A classic clothing piece from Marques Boutique.,Fresh,
Born Pink,3,Hair,,Cute,One of the initial items acquired upon arrival in Miraland.,Sweet,
Chiming Breeze,3,Hair,,Cute,Resonance from the Distant Sea,Sweet,Distant Sea
Five More Minutes,3,Hair,,Home,A classic clothing piece from Marques Boutique.,Sweet,
Inky Braid,3,Hair,,Trendy,Resonance from the Distant Sea,Fresh,Distant Sea
Mini Fishball,3,Hair,,Fashion,A reward from an adventure.,Fresh,
Misty Clouds,3,Hair,,Intellectual,An unexpected surprise from the Surprise-O-Matic.,Elegant,
Nostalgic Blossom,3,Hair,,Pastoral,A piece of journey anecdote.,Fresh,
Peachy Puffs,3,Hair,,Cute,An unexpected surprise from the Surprise-O-Matic.,Sweet,
Pink 'n' Curly,3,Hair,,Romance,One of the initial items acquired upon arrival in Miraland.,Sweet,
Playful Spades,3,Hair,,Uniform,Resonance from the Distant Sea,Elegant,Distant Sea
Quick Ponytail,3,Hair,,Simple,A piece of journey anecdote.,Cool,
Sunrise Runner,3,Hair,,Summer,Resonance from the Distant Sea,Sweet,Distant Sea
Dreamlike Stars,3,Dress,Searching for Dreams,Cute,Proof of styling prowess.,Sweet,
Confession Lace,3,Dress,,Romance,Rare treasures scattered in chests found all around the world.,Elegant,
Fragrant Reverie,3,Dress,,Pastoral,Rare treasures scattered in chests found all around the world.,Fresh,
Mature Aftertaste,3,Dress,,Intellectual,Resonance from the Distant Sea,Elegant,Distant Sea
Natural Color,3,Dress,,Simple,A piece of journey anecdote.,Fresh,
Peachy Fellowship,3,Dress,,Cute,An unexpected surprise from the Surprise-O-Matic.,Sweet,
Perfect Start,3,Dress,,Cute,One of the initial items acquired upon arrival in Miraland.,Sweet,
Snownight Letter,3,Dress,,Romance,A classic clothing piece from Marques Boutique.,Sexy,
Spring Qipao,3,Dress,,Intellectual,Rare treasures scattered in chests found all around the world.,Fresh,
Starry Vigil,3,Dress,,Romance,Rare treasures scattered in chests found all around the world.,Sweet,
Work-Life Balance,3,Outerwear,Refined Grace,Intellectual,Proof of styling prowess.,Cool,
Gentle Starshine,3,Outerwear,Searching for Dreams,Cute,Proof of styling prowess.,Sexy,
First Day Jogging,3,Outerwear,,Summer,Resonance from the Distant Sea,Sweet,Distant Sea
Floral Love,3,Outerwear,,Pastoral,A unique creation made by an independent designer.,Fresh,
Golden Elegance,3,Outerwear,,Intellectual,A classic clothing piece from Marques Boutique.,Elegant,
Handsome Silhouette,3,Outerwear,,Intellectual,A classic clothing piece from Marques Boutique.,Elegant,
Midsummer Shade,3,Outerwear,,Cute,An unexpected surprise from the Surprise-O-Matic.,Sweet,
Red Checkered Vest,3,Outerwear,,Uniform,Resonance from the Distant Sea,Elegant,Distant Sea
Rich Hot Chocolate,3,Outerwear,,Cute,A classic clothing piece from Marques Boutique.,Elegant,
Sky Monarch Catcher,3,Outerwear,,Warm,An unexpected surprise from the Surprise-O-Matic.,Sweet,
Classroom Hours,3,Top,A Beautiful Day,Retro,Proof of styling prowess.,Elegant,
Striped Celebration,3,Top,Carnival Ode,Fashion,Rare treasures scattered in chests found all around the world.,Cool,
Majestic Stance,3,Top,Guard's Resolve,Uniform,A reward from an adventure.,Cool,
Clear Mind,3,Top,Refined Grace,Intellectual,Proof of styling prowess.,Cool,
Academy Tribute,3,Top,,Retro,Rare treasures scattered in chests found all around the world.,Cool,
Crybaby Vest,3,Top,,,A unique creation made by an independent designer.,Cool,
Cutie Dragon,3,Top,,Simple,Rare treasures scattered in chests found all around the world.,Fresh,
Distant Gaze,3,Top,,Romance,Rare treasures scattered in chests found all around the world.,Fresh,
Dreamland Marathon,3,Top,,Home,A classic clothing piece from Marques Boutique.,Sweet,
Expedition Souvenir,3,Top,,Warm,A piece of journey anecdote.,Fresh,
Fleeting Oath,3,Top,,Intellectual,Rare treasures scattered in chests found all around the world.,Cool,
Floral Rhythm,3,Top,,Summer,An unexpected surprise from the Surprise-O-Matic.,Fresh,
Golden Handprint,3,Top,,Uniform,A unique creation made by an independent designer.,Cool,
Hundred Daisies,3,Top,,Romance,A piece of journey anecdote.,Sexy,
Light Travel,3,Top,,Summer,Rare treasures scattered in chests found all around the world.,Fresh,
Mark of Life,3,Top,,Trendy,Rare treasures scattered in chests found all around the world.,Cool,
Noir Creed 01,3,Top,,,A unique creation made by an independent designer.,Cool,
Orange Rebel,3,Top,,Summer,A classic clothing piece from Marques Boutique.,Sexy,
Quick Warm-up,3,Top,,Summer,An unexpected surprise from the Surprise-O-Matic.,Sweet,
Rebellious Dream,3,Top,,Trendy,Rare treasures scattered in chests found all around the world.,Cool,
Refreshing Greenery,3,Top,,Summer,Rare treasures scattered in chests found all around the world.,Fresh,
Riverside Run,3,Top,,Adventure,Rare treasures scattered in chests found all around the world.,Cool,
Scalding Tears,3,Top,,Simple,A unique creation made by an independent designer.,Fresh,
Steaming Skewers,3,Top,,Home,A unique creation made by an independent designer.,Sweet,
Sunny Floral Blouse,3,Top,,Cute,An unexpected surprise from the Surprise-O-Matic.,Fresh,
Sweet Pink,3,Top,,Cute,An unexpected surprise from the Surprise-O-Matic.,Sweet,
Verdant Freedom,3,Top,,Pastoral,Resonance from the Distant Sea,Fresh,Distant Sea
Well-Organized,3,Top,,Trendy,Rare treasures scattered in chests found all around the world.,Sexy,
Wisteria's Longing,3,Top,,,A classic clothing piece from Marques Boutique.,Sweet,
Immersive Study,3,Bottom,A Beautiful Day,Retro,Proof of styling prowess.,Elegant,
Free Will,3,Bottom,Carnival Ode,Fashion,Rare treasures scattered in chests found all around the world.,Cool,
Problem-Solver,3,Bottom,Guard's Resolve,Uniform,A reward from an adventure.,Cool,
With Efficiency,3,Bottom,Refined Grace,Intellectual,Proof of styling prowess.,Cool,
Azure Viola,3,Bottom,,Simple,A unique creation made by an independent designer.,Sweet,
Bouncy Blue,3,Bottom,,Adventure,Rare treasures scattered in chests found all around the world.,Cool,
Brown Orange Plaid,3,Bottom,,Simple,A unique creation made by an independent designer.,Sweet,
Cyan Mist,3,Bottom,,Linlang,Resonance from the Distant Sea,Sexy,Distant Sea
Dark Blue Fantasy,3,Bottom,,Simple,A unique creation made by an independent designer.,Sweet,
Deep Blue Companion,3,Bottom,,Fashion,Resonance from the Distant Sea,Cool,Distant Sea
Deeply Engraved,3,Bottom,,Trendy,Rare treasures scattered in chests found all around the world.,Cool,
Elegant Hibiscus,3,Bottom,,Pastoral,A classic clothing piece from Marques Boutique.,Sweet,
Fishy Fantasy,3,Bottom,,Pastoral,World travel mementos.,Fresh,
Foliage Musings,3,Bottom,,Simple,Rare treasures scattered in chests found all around the world.,Fresh,
Gang Rules,3,Bottom,,Retro,Rare treasures scattered in chests found all around the world.,Cool,
Late Slumber,3,Bottom,,Home,A classic clothing piece from Marques Boutique.,Sweet,
Noir Creed 02,3,Bottom,,,A unique creation made by an independent designer.,Cool,
Operation Summer,3,Bottom,,Summer,Resonance from the Distant Sea,Fresh,Distant Sea
Patchwork Pants,3,Bottom,,Retro,Rare treasures scattered in chests found all around the world.,Elegant,
Pink Branches,3,Bottom,,Simple,A unique creation made by an independent designer.,Sweet,
Plain Flowers,3,Bottom,,Simple,A unique creation made by an independent designer.,Sweet,
Powder Blue,3,Bottom,,Romance,An unexpected surprise from the Surprise-O-Matic.,Fresh,
Rosy Dance Skirt,3,Bottom,,Fantasy,Rare treasures scattered in chests found all around the world.,Elegant,
Shorts of Faith,3,Bottom,,Retro,Rare treasures scattered in chests found all around the world.,Cool,
Single Strap Blues,3,Bottom,,Trendy,A unique creation made by an independent designer.,Sweet,
Spinning Mood,3,Bottom,,Fantasy,Rare treasures scattered in chests found all around the world.,Elegant,
Swift Leap,3,Bottom,,Summer,Rare treasures scattered in chests found all around the world.,Cool,
Tree Shade,3,Bottom,,,Rare treasures scattered in chests found all around the world.,Fresh,
Unruly Plaid,3,Bottom,,Trendy,Rare treasures scattered in chests found all around the world.,Cool,
Wishful Pact,3,Bottom,,Romance,A classic clothing piece from Marques Boutique.,Elegant,
Midday Nap,3,Socks,A Beautiful Day,Retro,Proof of styling prowess.,Elegant,
Dreamy Starlight,3,Socks,Searching for Dreams,Cute,Proof of styling prowess.,Sexy,
Diving Teaser,3,Socks,,Fashion,Resonance from the Distant Sea,Cool,Distant Sea
Dreamy Blossom,3,Socks,,Trendy,World travel mementos.,Fresh,
Dreamy Hope,3,Socks,,Cute,One of the initial items acquired upon arrival in Miraland.,Sweet,
Enchanting Crimson,3,Socks,,Intellectual,Rare treasures scattered in chests found all around the world.,Sexy,
Floral Squash House,3,Socks,,Pastoral,A unique creation made by an independent designer.,Fresh,
Frosted Sprinkles,3,Socks,,Simple,An unexpected surprise from the Surprise-O-Matic.,Fresh,
Fun Stripes,3,Socks,,Simple,Rare treasures scattered in chests found all around the world.,Cool,
Lavender Stripes,3,Socks,,Cute,Resonance from the Distant Sea,Sexy,Distant Sea
Low-Key Trail,3,Socks,,Simple,Rare treasures scattered in chests found all around the world.,Cool,
Melted Cream,3,Socks,,Cute,Resonance from the Distant Sea,Sweet,Distant Sea
Midnight Bloom,3,Socks,,Fashion,A classic clothing piece from Marques Boutique.,Sexy,
Peachfall Page,3,Socks,,Cute,An unexpected surprise from the Surprise-O-Matic.,Sweet,
Radiant Heat,3,Socks,,Summer,Resonance from the Distant Sea,Fresh,Distant Sea
Rouge and Verdant,3,Socks,,Retro,A classic clothing piece from Marques Boutique.,Sweet,
Save the Longstocking,3,Socks,,Fashion,A classic clothing piece from Marques Boutique.,Sexy,
Sweet Dreams,3,Socks,,Home,A classic clothing piece from Marques Boutique.,Sweet,
Ultra-Vibrant Stripes,3,Socks,,Summer,An unexpected surprise from the Surprise-O-Matic.,Sweet,
White Floral Net,3,Socks,,Fashion,Resonance from the Distant Sea,Fresh,Distant Sea
White Whirlwind,3,Socks,,Simple,Rare treasures scattered in chests found all around the world.,Cool,
Heartfelt Tribute,3,Shoes,A Beautiful Day,Retro,Proof of styling prowess.,Elegant,
Into Midnight,3,Shoes,Carnival Ode,Fashion,Rare treasures scattered in chests found all around the world.,Cool,
Steady Stride,3,Shoes,Guard's Resolve,Uniform,A reward from an adventure.,Cool,
Easy Steps,3,Shoes,Refined Grace,Intellectual,Proof of styling prowess.,Cool,
Star of Dreams,3,Shoes,Searching for Dreams,Cute,Proof of styling prowess.,Sexy,
At Night,3,Shoes,,Trendy,Rare treasures scattered in chests found all around the world.,Cool,
Candy Waltz,3,Shoes,,Simple,Resonance from the Distant Sea,Sweet,Distant Sea
Classic Curves,3,Shoes,,Intellectual,Resonance from the Distant Sea,Sexy,Distant Sea
Cocoa Fairytale,3,Shoes,,Pastoral,A classic clothing piece from Marques Boutique.,Fresh,
Competition,3,Shoes,,Trendy,Rare treasures scattered in chests found all around the world.,Cool,
Cool Sprint,3,Shoes,,Simple,Rare treasures scattered in chests found all around the world.,Cool,
Emerald Whirl,3,Shoes,,Trendy,Rare treasures scattered in chests found all around the world.,Cool,
Fairytale Friend,3,Shoes,,Romance,Resonance from the Distant Sea,Elegant,Distant Sea
Floral Stroll,3,Shoes,,Pastoral,A classic clothing piece from Marques Boutique.,Fresh,
Footsteps of Love,3,Shoes,,Intellectual,A unique creation made by an independent designer.,Fresh,
Light Steps,3,Shoes,,Romance,An unexpected surprise from the Surprise-O-Matic.,Fresh,
Longing Footsteps,3,Shoes,,Retro,Rare treasures scattered in chests found all around the world.,Cool,
One More Minute,3,Shoes,,Home,A classic clothing piece from Marques Boutique.,Sweet,
Peachy Steps,3,Shoes,,Cute,An unexpected surprise from the Surprise-O-Matic.,Sweet,
Peep-Toe Mystery,3,Shoes,,Intellectual,A classic clothing piece from Marques Boutique.,Sexy,
Plaid Impression,3,Shoes,,Fashion,A classic clothing piece from Marques Boutique.,Elegant,
Race Against Time,3,Shoes,,Summer,Resonance from the Distant Sea,Sweet,Distant Sea
Reshaped Plaid,3,Shoes,,Fashion,World travel mementos.,Cool,
Stroll and Leisure,3,Shoes,,Adventure,Rare treasures scattered in chests found all around the world.,Fresh,
Summer Branches,3,Shoes,,Intellectual,A classic clothing piece from Marques Boutique.,Elegant,
Traveler's Shoes,3,Shoes,,Adventure,Rare treasures scattered in chests found all around the world.,Cool,
Windchaser,3,Shoes,,Adventure,Rare treasures scattered in chests found all around the world.,Cool,
Zestful Kicks,3,Shoes,,Cute,One of the initial items acquired upon arrival in Miraland.,Sweet,
Morning Greetings,3,Hair Accessory,A Beautiful Day,Retro,Proof of styling prowess.,Elegant,
Crochet Butterfly,3,Hair Accessory,,Cute,A unique creation made by an independent designer.,Sweet,
Knitted Butterflies,3,Hair Accessory,,Cute,A unique creation made by an independent designer.,Sweet,
Modern Trends,3,Hair Accessory,,Cute,A classic clothing piece from Marques Boutique.,Sweet,
Peachy Oath,3,Hair Accessory,,Cute,An unexpected surprise from the Surprise-O-Matic.,Sweet,
Pearly Dots,3,Hair Accessory,,Simple,World travel mementos.,Fresh,
Rebounding Deep Breath,3,Hair Accessory,,Summer,Resonance from the Distant Sea,Cool,Distant Sea
Star Seeker,3,Hair Accessory,,Fantasy,Resonance from the Distant Sea,Sexy,Distant Sea
Starlit Companions,3,Hair Accessory,,Summer,World travel mementos.,Sweet,
Sunny Windchime,3,Hair Accessory,,Summer,Resonance from the Distant Sea,Fresh,Distant Sea
Surprise Invitation,3,Hair Accessory,,Romance,A piece of journey anecdote.,Fresh,
Woven Dreams,3,Hair Accessory,,Pastoral,Resonance from the Distant Sea,Fresh,Distant Sea
Dark Night Sky,3,Headwear,Carnival Ode,Fashion,Rare treasures scattered in chests found all around the world.,Cool,
Abyssal Gaze,3,Headwear,,Trendy,Rare treasures scattered in chests found all around the world.,Cool,
Adventure's Hat,3,Headwear,,Adventure,World travel mementos.,Cool,
Blossom's Wish,3,Headwear,,Formal,Rare treasures scattered in chests found all around the world.,Fresh,
Breeze-Kissed Blooms,3,Headwear,,Pastoral,A piece of journey anecdote.,Fresh,
Choo-Choo Whistle,3,Headwear,,Uniform,World travel mementos.,Cool,
Cool Shade,3,Headwear,,Pastoral,Rare treasures scattered in chests found all around the world.,Fresh,
Gentle Sunshine,3,Headwear,,Summer,A piece of journey anecdote.,Sweet,
Guardian's Pact,3,Headwear,,Uniform,A classic clothing piece from Marques Boutique.,Cool,
Heavy Eyelids,3,Headwear,,Home,A piece of journey anecdote.,Sweet,
Kitty Fluff,3,Headwear,,Playful,A reward from an adventure.,Fresh,
Mist Piercer,3,Headwear,,Uniform,A unique creation made by an independent designer.,Cool,
Peace with Birds,3,Headwear,,Simple,A piece of journey anecdote.,Fresh,
Shaky Branch,3,Headwear,,Summer,Rare treasures scattered in chests found all around the world.,Fresh,
Starlit Night,3,Headwear,,Fairy,A piece of journey anecdote.,Sweet,
Sunset Finale,3,Headwear,,Romance,An unexpected surprise from the Surprise-O-Matic.,Elegant,
Winding Branches,3,Headwear,,Pastoral,Rare treasures scattered in chests found all around the world.,Fresh,
Stockpile Audit,3,Earrings,Refined Grace,Intellectual,Proof of styling prowess.,Cool,
Cinders,3,Earrings,,Fashion,Rare treasures scattered in chests found all around the world.,Cool,
Daisy Reminiscence,3,Earrings,,Simple,World travel mementos.,Sweet,
Droopy Banner,3,Earrings,,Trendy,Rare treasures scattered in chests found all around the world.,Cool,
Flashing Alert,3,Earrings,,Fashion,Rare treasures scattered in chests found all around the world.,Cool,
Floral Whispers,3,Earrings,,Pastoral,World travel mementos.,Fresh,
Purple Whisper,3,Earrings,,Pastoral,A unique creation made by an independent designer.,Sweet,
Surprise Box,3,Earrings,,Playful,Rare treasures scattered in chests found all around the world.,Sweet,
Tangy Dreams,3,Earrings,,Playful,Rare treasures scattered in chests found all around the world.,Sweet,
Connected Agate,3,Neckwear,Carnival Ode,Fashion,Rare treasures scattered in chests found all around the world.,Cool,
Fallen Star,3,Neckwear,Searching for Dreams,Cute,Proof of styling prowess.,Sexy,
Budding Sprout,3,Neckwear,,Royal,Rare treasures scattered in chests found all around the world.,Elegant,
Dark Silverbloom,3,Neckwear,,Intellectual,A classic clothing piece from Marques Boutique.,Elegant,
Guardian Pendant,3,Neckwear,,Simple,Resonance from the Distant Sea,Elegant,Distant Sea
Pure Leaves,3,Neckwear,,Pastoral,World travel mementos.,Fresh,
Wish Bottle Necklace,3,Neckwear,,Fantasy,A unique creation made by an independent designer.,Fresh,
Diligent Agenda,3,Bracelet,Refined Grace,Intellectual,Proof of styling prowess.,Cool,
Blessing Nebula,3,Bracelet,,Fashion,Resonance from the Distant Sea,Sweet,Distant Sea
Fleeting Snowfall,3,Bracelet,,Romance,An unexpected surprise from the Surprise-O-Matic.,Elegant,
Forgotten Hair Tie,3,Bracelet,,Home,A classic clothing piece from Marques Boutique.,Sweet,
Lavenfringe Chains,3,Bracelet,,Romance,A unique creation made by an independent designer.,Sweet,
Orange Sun,3,Bracelet,,Summer,Rare treasures scattered in chests found all around the world.,Fresh,
Peachy Nostalgia,3,Bracelet,,Cute,An unexpected surprise from the Surprise-O-Matic.,Sweet,
Ripened Squash,3,Bracelet,,Intellectual,A unique creation made by an independent designer.,Fresh,
Skilled Hunter,3,Bracelet,,Fashion,World travel mementos.,Cool,
Zephyr Bracelet,3,Bracelet,,Romance,World travel mementos.,Elegant,
First Impression,3,Choker,,Cute,One of the initial items acquired upon arrival in Miraland.,Sweet,
Fluttering Heart,3,Choker,,Fashion,Resonance from the Distant Sea,Cool,Distant Sea
Heartfelt Words,3,Choker,,Pastoral,Resonance from the Distant Sea,Sweet,Distant Sea
Night's Soul,3,Choker,,Trendy,Rare treasures scattered in chests found all around the world.,Cool,
Rebellious Will,3,Choker,,Trendy,A classic clothing piece from Marques Boutique.,Cool,
Silent Whispers,3,Choker,,Fashion,An unexpected surprise from the Surprise-O-Matic.,Sexy,
Thorough Investigation,3,Gloves,Guard's Resolve,Uniform,A reward from an adventure.,Cool,
Delicate Leaves,3,Gloves,,Adventure,Rare treasures scattered in chests found all around the world.,Fresh,
Sincere Greetings,3,Gloves,,Formal,Rare treasures scattered in chests found all around the world.,Sexy,
Through the Mist,3,Face Decoration,,Fashion,A unique creation made by an independent designer.,Cool,
Trusted Protection,3,Face Decoration,,Adventure,Resonance from the Distant Sea,Cool,Distant Sea
Unnamed Medal,3,Chest Accessory,Carnival Ode,Fashion,Rare treasures scattered in chests found all around the world.,Cool,
Glorious Calling,3,Chest Accessory,Guard's Resolve,Uniform,A reward from an adventure.,Cool,
Galaxy's Desire,3,Chest Accessory,,Fashion,World travel mementos.,Cool,
Blue Flower Dye,3,Pendant,,Summer,Resonance from the Distant Sea,Sweet,Distant Sea
